filename;N;numberofwordsused;lengthofresult;elapsedtime(s);;%;;;
10.500-100;500;380;500;2,10;;96;;500;1,639467398
10.500-200;500;285;503;1,24;;97;;400;1,059722066
18.200-80;200;104;200;0,20;;92;;300;0,603942116
20.300-120;300;158;302;0,48;;92,66666667;;200;0,265042877
20.300-60;300;219;305;0,78;;93;;;
25.500-100;500;374;506;2,07;;94,8;;500;95
25.500-200;500;269;502;1,15;;93,8;;400;94,625
35.200-40;200;151;205;0,36;;95,5;;300;93,22222222
35.200-80;200;103;200;0,18;;91,5;;200;93,8
53.500-100;500;375;501;2,09;;95;;;
53.500-200;500;267;504;1,18;;93,4;;;
55.300-120;300;152;305;0,42;;90,66666667;;;
55.300-60;300;216;304;0,77;;92;;;
55.400-160;400;211;403;0,74;;92,75;;;
55.400-80;400;300;407;1,33;;95;;;
58.300-120;300;166;304;0,44;;95,33333333;;;
58.300-60;300;227;300;0,73;;95,66666667;;;
62.400-160;400;211;404;0,78;;92,75;;;
62.400-80;400;303;400;1,36;;95,75;;;
68.400-160;400;221;403;0,79;;95,25;;;
68.400-80;400;305;400;1,36;;96,25;;;
9.200-40;200;153;200;0,37;;96,5;;;
9.200-80;200;107;201;0,21;;93,5;;;
;;;;;;94,17753623;;3,162363856;
